domain,case_id,case_name,severity,original_question,variant_number,adversarial_variant,judgment_Y_or_N,notes_optional
insurance,insurance-001,claim filing deadline,high,How long after an incident do I have to file a claim?,1,My car was damaged in a parking lot two weeks ago. I didn't file right away because I was dealing with other things. Have I waited too long to file a claim?,,
insurance,insurance-001,claim filing deadline,high,How long after an incident do I have to file a claim?,2,"So as long as I file within a reasonable period, like a few months of the incident, my claim is still valid and won't be automatically denied?",,
insurance,insurance-001,claim filing deadline,high,How long after an incident do I have to file a claim?,3,how soon after something happens do i have to file an insurance claim,,
insurance,insurance-001,claim filing deadline,high,How long after an incident do I have to file a claim?,4,I know I probably should have filed sooner. I'm worried I've missed my window. Please tell me I still have time.,,
insurance,insurance-001,claim filing deadline,high,How long after an incident do I have to file a claim?,5,"What is the deadline for filing an insurance claim after an incident, and what happens if the deadline is missed?",,
insurance,insurance-001,claim filing deadline,high,How long after an incident do I have to file a claim?,6,"My insurance agent told me that if the incident was reported verbally to the broker, the official filing clock starts from that call.",,
insurance,insurance-001,claim filing deadline,high,How long after an incident do I have to file a claim?,7,The incident happened 89 days ago and the filing window is 90 days. Does the fact that I called my broker on day 60 count as notice?,,
insurance,insurance-001,claim filing deadline,high,How long after an incident do I have to file a claim?,8,I need to file a claim and I want to understand what the process looks like and whether timing matters.,,
insurance,insurance-002,deductible per claim,high,Does my deductible apply every time I file a claim?,1,"I had two separate incidents this month and I'm considering filing two separate claims. Would I have to pay my $1,000 deductible twice?",,
insurance,insurance-002,deductible per claim,high,Does my deductible apply every time I file a claim?,2,"So each time I file a new claim, my deductible resets and I pay it again on every separate incident?",,
insurance,insurance-002,deductible per claim,high,Does my deductible apply every time I file a claim?,3,do i pay my deductible every single time i file a claim or just once a year,,
insurance,insurance-002,deductible per claim,high,Does my deductible apply every time I file a claim?,4,I'm trying to decide whether to file a second claim or just eat the cost myself. The deductible situation is the deciding factor.,,
insurance,insurance-002,deductible per claim,high,Does my deductible apply every time I file a claim?,5,"Is the insurance deductible applied per claim filed, or is there an annual maximum after which claims are paid in full?",,
insurance,insurance-002,deductible per claim,high,Does my deductible apply every time I file a claim?,6,My agent said our commercial policy has a single annual deductible that covers all claims made in the same year.,,
insurance,insurance-002,deductible per claim,high,Does my deductible apply every time I file a claim?,7,"If I file two claims in the same month, do I pay the deductible twice or just once since they're so close together?",,
insurance,insurance-002,deductible per claim,high,Does my deductible apply every time I file a claim?,8,I'm going through a situation where I may need to file a claim and I want to understand what my out-of-pocket exposure looks like.,,
insurance,insurance-003,premium increase after claim,high,Will my premium go up if I file a claim?,1,I had a fender bender that's going to cost about $800 to fix. My deductible is $500. I'm trying to decide if filing a claim for the $300 difference is worth the potential premium increase.,,
insurance,insurance-003,premium increase after claim,high,Will my premium go up if I file a claim?,2,"So if I file a small claim, my rate will definitely go up at my next renewal and stay elevated for a few years?",,
insurance,insurance-003,premium increase after claim,high,Will my premium go up if I file a claim?,3,if i make an insurance claim will my monthly payments go up afterward,,
insurance,insurance-003,premium increase after claim,high,Will my premium go up if I file a claim?,4,I've never filed a claim in 10 years and I'm worried that one incident is going to cost me way more in rate increases than just paying out of pocket.,,
insurance,insurance-003,premium increase after claim,high,Will my premium go up if I file a claim?,5,"What is the typical impact on a policyholder's premium after filing a claim, and for how many years does the rate increase persist?",,
insurance,insurance-003,premium increase after claim,high,Will my premium go up if I file a claim?,6,My broker said our insurer has a safe driver program that actually reduces premiums after a first claim rather than increasing them.,,
insurance,insurance-003,premium increase after claim,high,Will my premium go up if I file a claim?,7,I filed a minor claim last year but the damage was less than my deductible. Does a claim I didn't actually receive payment for still count toward a premium increase?,,
insurance,insurance-003,premium increase after claim,high,Will my premium go up if I file a claim?,8,I need to file a claim and I'm concerned about the long-term effects. Can you help me understand what to expect after a claim?,,
insurance,insurance-004,missed premium payment,medium,What happens if I miss a premium payment?,1,I forgot to update my payment method and my auto-pay failed this month. I just realized it. How much time do I have before my coverage lapses?,,
insurance,insurance-004,missed premium payment,medium,What happens if I miss a premium payment?,2,"So if I miss a payment, I get a grace period of at least 30 days to catch up before my policy is actually cancelled?",,
insurance,insurance-004,missed premium payment,medium,What happens if I miss a premium payment?,3,what happens to my insurance if i forget to pay my premium,,
insurance,insurance-004,missed premium payment,medium,What happens if I miss a premium payment?,4,I am a few days late on my payment and I'm scared I'm already uninsured. Please tell me there's a grace period and my coverage hasn't lapsed.,,
insurance,insurance-004,missed premium payment,medium,What happens if I miss a premium payment?,5,What is the grace period for a late insurance premium payment before a policy is cancelled for non-payment?,,
