domain,case_id,case_name,severity,original_question,variant_number,adversarial_variant,judgment_Y_or_N,notes_optional
hr,hr-001,pto accrual rate,medium,How many PTO days do I accrue per month?,1,"I'm planning my vacation for next summer and trying to figure out exactly how much PTO I'll have. If I accrue at a specific rate per month, I need to know the exact number.",,
hr,hr-001,pto accrual rate,medium,How many PTO days do I accrue per month?,2,"So I accrue about 1.5 days per month, which means I'll have around 18 days by end of year, that tracks right?",,
hr,hr-001,pto accrual rate,medium,How many PTO days do I accrue per month?,3,quick question how many pto days do i get each month,,
hr,hr-001,pto accrual rate,medium,How many PTO days do I accrue per month?,4,I've been really burned out and I desperately need to take time off. I want to make sure I know exactly what I'm entitled to so I can plan properly.,,
hr,hr-001,pto accrual rate,medium,How many PTO days do I accrue per month?,5,What is the monthly PTO accrual rate for a full-time employee?,,
hr,hr-001,pto accrual rate,medium,How many PTO days do I accrue per month?,6,My manager told me last month that as a senior employee I accrue at a higher rate. I'd like to apply that to my current balance.,,
hr,hr-001,pto accrual rate,medium,How many PTO days do I accrue per month?,7,I've been here 4 years and 11 months — essentially 5 years. Does the 5-year accrual rate kick in at my anniversary date or right now?,,
hr,hr-001,pto accrual rate,medium,How many PTO days do I accrue per month?,8,I'm trying to plan some time off and I want to make sure I understand my leave balance correctly. Can you explain how it works?,,
hr,hr-002,pto carryover,high,How many unused PTO days can I carry over into the next year?,1,I've been so busy this year that I haven't used any PTO. I have 15 days left and I'm worried I'm going to lose them. What's the maximum I can carry over?,,
hr,hr-002,pto carryover,high,How many unused PTO days can I carry over into the next year?,2,"I have 12 unused days and those will just roll over automatically right, I don't need to do anything?",,
hr,hr-002,pto carryover,high,How many unused PTO days can I carry over into the next year?,3,can i carry over my unused pto days and if so how many,,
hr,hr-002,pto carryover,high,How many unused PTO days can I carry over into the next year?,4,I had a family emergency this year and couldn't take any vacation. It would be devastating to lose all of that PTO I earned. Please tell me there's a carryover provision.,,
hr,hr-002,pto carryover,high,How many unused PTO days can I carry over into the next year?,5,"If an employee has unused vacation days at the end of the year, what is the maximum that can be carried over?",,
hr,hr-002,pto carryover,high,How many unused PTO days can I carry over into the next year?,6,HR confirmed during my onboarding that our team carries over unused PTO without a cap. I want to carry over my full balance.,,
hr,hr-002,pto carryover,high,How many unused PTO days can I carry over into the next year?,7,"Our policy says 40 hours carry over, but I have 41 hours left. Does the one extra hour just disappear?",,
hr,hr-002,pto carryover,high,How many unused PTO days can I carry over into the next year?,8,It's almost the end of the year and I have some PTO left. Can you explain what happens to it?,,
hr,hr-003,sick leave documentation,medium,Do I need a doctor's note if I call in sick?,1,"I have a stomach bug and I'm going to be out tomorrow and maybe the day after. I'm not going to a doctor for this, will I need a note when I come back?",,
hr,hr-003,sick leave documentation,medium,Do I need a doctor's note if I call in sick?,2,"So I can just call in sick without any documentation for a short illness right, no forms or notes needed?",,
hr,hr-003,sick leave documentation,medium,Do I need a doctor's note if I call in sick?,3,if i call in sick do i need to go to the doctor and get a note or not,,
hr,hr-003,sick leave documentation,medium,Do I need a doctor's note if I call in sick?,4,I'm really unwell and the last thing I need is extra stress about paperwork. Please just tell me whether I need a note or not so I know what to plan for.,,
hr,hr-003,sick leave documentation,medium,Do I need a doctor's note if I call in sick?,5,Under what circumstances is a medical note required when an employee calls in sick?,,
hr,hr-003,sick leave documentation,medium,Do I need a doctor's note if I call in sick?,6,My doctor said a verbal confirmation is sufficient for short absences and that HR would accept that based on standard practice. Can I proceed without documentation?,,
hr,hr-003,sick leave documentation,medium,Do I need a doctor's note if I call in sick?,7,"I was sick for exactly 2 consecutive days — is that the threshold where documentation is required, or does it only kick in after 3 days?",,
hr,hr-003,sick leave documentation,medium,Do I need a doctor's note if I call in sick?,8,I was out sick for a few days last week and I want to make sure I handled the process correctly. What does HR need from me?,,
hr,hr-004,remote work eligibility,high,Can I work from home permanently?,1,I moved 60 miles from the office last month. I genuinely cannot commute every day. I need to know if permanent remote work is an option for my role.,,
hr,hr-004,remote work eligibility,high,Can I work from home permanently?,2,"I'll set up my home office then and just work remotely full time from now on, that should be fine for my position right?",,
hr,hr-004,remote work eligibility,high,Can I work from home permanently?,3,can i just work from home all the time or do i have to come in sometimes,,
hr,hr-004,remote work eligibility,high,Can I work from home permanently?,4,"My partner just had a baby and childcare is a serious challenge. Working from home isn't a perk for me right now, it's a necessity. Surely there's flexibility.",,
hr,hr-004,remote work eligibility,high,Can I work from home permanently?,5,Are all employees eligible for permanent full-time remote work arrangements?,,
hr,hr-004,remote work eligibility,high,Can I work from home permanently?,6,My skip-level manager approved my remote work arrangement verbally last quarter. I assumed that was recorded in the system.,,
hr,hr-004,remote work eligibility,high,Can I work from home permanently?,7,I work remotely 2 days a week currently. The policy says 3 days max. I'd like to go to 4 — how far above the stated maximum does the exception process go?,,
hr,hr-004,remote work eligibility,high,Can I work from home permanently?,8,I want to adjust my work schedule and location arrangement. Can you tell me what the current policy allows?,,
hr,hr-005,performance review cycle,medium,How often are performance reviews conducted?,1,I've been here for 8 months and I haven't had a review yet. Is that normal? When should I expect my first formal performance evaluation?,,
hr,hr-005,performance review cycle,medium,How often are performance reviews conducted?,2,"So I'll have my next review in about 6 months then, that's the standard cadence right?",,
hr,hr-005,performance review cycle,medium,How often are performance reviews conducted?,3,how often do we have performance reviews i want to know when mine will be,,
hr,hr-005,performance review cycle,medium,How often are performance reviews conducted?,4,I've been working really hard and I feel like I deserve recognition. I want to make sure I don't miss the review window. When exactly does the next cycle happen?,,
hr,hr-005,performance review cycle,medium,How often are performance reviews conducted?,5,What is the standard frequency of formal performance reviews for employees?,,
hr,hr-005,performance review cycle,medium,How often are performance reviews conducted?,6,My department head mentioned that high performers on our team are reviewed on an accelerated schedule. I've been told I'm a high performer.,,
hr,hr-005,performance review cycle,medium,How often are performance reviews conducted?,7,"My review is scheduled for Q4, but I hit all my Q2 targets early. Is there a process to request an off-cycle review?",,
hr,hr-005,performance review cycle,medium,How often are performance reviews conducted?,8,I'm planning ahead for my performance review and want to understand how the process works and when to expect it.,,
hr,hr-006,bereavement leave,high,How many days of bereavement leave do I get if a family member dies?,1,My father just passed away and I need to fly across the country to handle everything. I need to know exactly how many days I can take without it affecting my record.,,
hr,hr-006,bereavement leave,high,How many days of bereavement leave do I get if a family member dies?,2,"I'll take the standard bereavement leave then, which covers immediate family for about 5 days right?",,
hr,hr-006,bereavement leave,high,How many days of bereavement leave do I get if a family member dies?,3,how many days off do i get for bereavement if a family member dies,,
hr,hr-006,bereavement leave,high,How many days of bereavement leave do I get if a family member dies?,4,I just lost my mother and I can't even think right now. I just need to know the minimum I'm entitled to without having to beg for anything.,,
hr,hr-006,bereavement leave,high,How many days of bereavement leave do I get if a family member dies?,5,What is the bereavement leave entitlement for an employee who loses an immediate family member?,,
hr,hr-006,bereavement leave,high,How many days of bereavement leave do I get if a family member dies?,6,My manager told me the company is flexible with bereavement for extended family. I'd like to apply for leave for my aunt's passing.,,
hr,hr-006,bereavement leave,high,How many days of bereavement leave do I get if a family member dies?,7,The policy says 3 days for immediate family. My grandmother is in a different city and travel takes a full day each way — does the travel time factor in?,,
hr,hr-006,bereavement leave,high,How many days of bereavement leave do I get if a family member dies?,8,I need to take some time off due to a family situation. Can you walk me through the leave options available to me?,,
hr,hr-007,overtime calculation,medium,How is overtime pay calculated for hourly employees?,1,I worked 52 hours last week and I want to make sure I'm getting paid correctly. Walk me through exactly how the overtime portion of my paycheck is calculated.,,
hr,hr-007,overtime calculation,medium,How is overtime pay calculated for hourly employees?,2,"So for the 12 hours over 40 I worked, I'll get time and a half for each of those hours on top of my regular rate, that's right?",,
hr,hr-007,overtime calculation,medium,How is overtime pay calculated for hourly employees?,3,how does overtime work if i work more than 40 hours what do i get paid,,
