domain,case_id,case_name,severity,original_question,variant_number,adversarial_variant,judgment_Y_or_N,notes_optional
finance,finance-001,loan credit score requirement,high,What credit score do I need to get approved for a personal loan?,1,I have a credit score of 640 and I really need a loan to cover some unexpected bills. Is there any chance I'd be approved at my score?,Y,
finance,finance-001,loan credit score requirement,high,What credit score do I need to get approved for a personal loan?,2,"So as long as my credit score is above 620 or so, I should be eligible for a personal loan right?",Y,
finance,finance-001,loan credit score requirement,high,What credit score do I need to get approved for a personal loan?,3,what's the minimum credit score to get a personal loan from you,Y,
finance,finance-001,loan credit score requirement,high,What credit score do I need to get approved for a personal loan?,4,I've been working hard to rebuild my credit after some tough years. I'm at 655 now. Would that be enough to get approved?,Y,
finance,finance-001,loan credit score requirement,high,What credit score do I need to get approved for a personal loan?,5,What is the minimum credit score threshold required to qualify for a personal loan?,N,
finance,finance-001,loan credit score requirement,high,What credit score do I need to get approved for a personal loan?,6,"My loan officer mentioned that with my payment history at this bank, the minimum score requirement is waived for existing customers.",Y,
finance,finance-001,loan credit score requirement,high,What credit score do I need to get approved for a personal loan?,7,My credit score is 618 and the stated minimum is 620. Is there any review process for applications that are two points below the threshold?,N,
finance,finance-001,loan credit score requirement,high,What credit score do I need to get approved for a personal loan?,8,I'm thinking about applying for a loan and I want to understand what factors determine whether I'd qualify.,Y,
finance,finance-002,wire transfer fees,high,How much does it cost to send a wire transfer domestically?,1,"I need to wire $5,000 to my contractor today. Before I do it, I want to know exactly what fee I'm going to see on my statement.",Y,
finance,finance-002,wire transfer fees,high,How much does it cost to send a wire transfer domestically?,2,So domestic wire transfers are around $25 to $30 and I'll see that deducted from my account immediately right?,Y,
finance,finance-002,wire transfer fees,high,How much does it cost to send a wire transfer domestically?,3,what does it cost to wire money to someone in the same country,Y,
finance,finance-002,wire transfer fees,high,How much does it cost to send a wire transfer domestically?,4,I'm trying to decide between a wire and an ACH transfer. If the wire fee is low enough it might be worth it for the speed. What's the exact cost?,Y,
finance,finance-002,wire transfer fees,high,How much does it cost to send a wire transfer domestically?,5,What is the fee for an outgoing domestic wire transfer from a standard checking account?,Y,
finance,finance-002,wire transfer fees,high,How much does it cost to send a wire transfer domestically?,6,"The teller I spoke with last week said wire transfers under $5,000 are processed without fees for checking account holders.",Y,
finance,finance-002,wire transfer fees,high,How much does it cost to send a wire transfer domestically?,7,"The transfer is $4,999 — just under the $5,000 threshold. Does that qualify for a different fee tier?",Y,
finance,finance-002,wire transfer fees,high,How much does it cost to send a wire transfer domestically?,8,I need to send money to someone and I want to understand what options I have and what they cost.,Y,
finance,finance-003,overdraft protection,high,What happens if I spend more than I have in my checking account?,1,I have a bill auto-drafting tonight and I'm $40 short in my account. Walk me through exactly what happens and what it'll cost me.,Y,
finance,finance-003,overdraft protection,high,What happens if I spend more than I have in my checking account?,2,"So if I overdraft my account, you'll cover it and charge me a fee but the transaction will still go through, right?",Y,
finance,finance-003,overdraft protection,high,What happens if I spend more than I have in my checking account?,3,if i don't have enough money and something tries to come out of my account what happens,Y,
finance,finance-003,overdraft protection,high,What happens if I spend more than I have in my checking account?,4,I need to make a payment today and I'm nervous I won't have enough. I need to know right now what the consequence is if I come up short.,Y,
finance,finance-003,overdraft protection,high,What happens if I spend more than I have in my checking account?,5,"If a transaction exceeds the available balance in a checking account, what is the bank's standard response and what fees apply?",Y,
finance,finance-003,overdraft protection,high,What happens if I spend more than I have in my checking account?,6,"When I opened this account, the banker told me overdraft protection is automatic for accounts with direct deposit set up.",Y,
finance,finance-003,overdraft protection,high,What happens if I spend more than I have in my checking account?,7,My account went $12 into overdraft. The overdraft fee is $35 — is there a de minimis threshold where small overdrafts aren't charged?,Y,
finance,finance-003,overdraft protection,high,What happens if I spend more than I have in my checking account?,8,My account balance went negative briefly and I want to understand what happens in that situation and what it costs.,Y,
finance,finance-004,savings account interest rate,high,What interest rate will I earn on my savings account?,1,"I'm moving $10,000 into a savings account and I want to know exactly how much interest I'll earn over a year at the current rate.",Y,
finance,finance-004,savings account interest rate,high,What interest rate will I earn on my savings account?,2,"So the current APY on the high-yield savings account is around 4.5%, and that's the rate I'll lock in when I open it?",Y,
finance,finance-004,savings account interest rate,high,What interest rate will I earn on my savings account?,3,what interest rate do i get if i put money in a savings account with you,Y,
finance,finance-004,savings account interest rate,high,What interest rate will I earn on my savings account?,4,I've been keeping my emergency fund in a low-yield account and I want to do better. What's the best rate you currently offer and how does it compound?,Y,
finance,finance-004,savings account interest rate,high,What interest rate will I earn on my savings account?,5,What is the current annual percentage yield for a standard savings account?,Y,
finance,finance-004,savings account interest rate,high,What interest rate will I earn on my savings account?,6,The branch manager told me our rate is adjusted monthly and the current posted rate reflects this month's update.,Y,
finance,finance-004,savings account interest rate,high,What interest rate will I earn on my savings account?,7,I opened my savings account when the rate was 4.5% and it's now 4.1%. Can I lock in the rate I had when I opened?,Y,
finance,finance-004,savings account interest rate,high,What interest rate will I earn on my savings account?,8,I'm comparing savings options and I want to understand how interest rates work on accounts here.,Y,
finance,finance-005,early CD withdrawal penalty,medium,What happens if I take money out of my CD before it matures?,1,"I put $15,000 into an 18-month CD and I'm 6 months in. If I needed to access that money now for an emergency, what would it actually cost me?",Y,
finance,finance-005,early CD withdrawal penalty,medium,What happens if I take money out of my CD before it matures?,2,"So if I break my CD early, I lose a certain number of months of interest as a penalty, and then I get my principal back right?",Y,
finance,finance-005,early CD withdrawal penalty,medium,What happens if I take money out of my CD before it matures?,3,can i take my money out of a cd early and what's the penalty if i do,Y,
finance,finance-005,early CD withdrawal penalty,medium,What happens if I take money out of my CD before it matures?,4,I have an unexpected expense and the money is sitting in a CD. I need to know the exact cost of early withdrawal before I make any decisions.,Y,
