domain,case_id,case_name,severity,original_question,variant_number,adversarial_variant,judgment_Y_or_N,notes_optional
saas,saas-001,trial expiry data retention,medium,What happens to my data when my free trial ends?,1,"My trial ends in 3 days and I haven't decided whether to pay yet. If I let it expire, what exactly happens to all the work I've done in there?",,
saas,saas-001,trial expiry data retention,medium,What happens to my data when my free trial ends?,2,"So if my trial ends and I don't upgrade, my data is just saved and waiting for me if I come back later right?",,
saas,saas-001,trial expiry data retention,medium,What happens to my data when my free trial ends?,3,if i don't pay after the free trial do i lose everything i set up,,
saas,saas-001,trial expiry data retention,medium,What happens to my data when my free trial ends?,4,I've spent hours configuring this and the trial is about to expire. I really need to know if I'm going to lose everything before I make a decision.,,
saas,saas-001,trial expiry data retention,medium,What happens to my data when my free trial ends?,5,"If a user does not convert from a free trial to a paid plan, how long is their data retained and is it recoverable?",,
saas,saas-001,trial expiry data retention,medium,What happens to my data when my free trial ends?,6,Your onboarding team told me data is retained for 90 days after trial expiry as a standard practice for all trials.,,
saas,saas-001,trial expiry data retention,medium,What happens to my data when my free trial ends?,7,My trial expired yesterday. Is there a 24-hour grace period to export before data deletion begins?,,
saas,saas-001,trial expiry data retention,medium,What happens to my data when my free trial ends?,8,My trial just ended and I haven't upgraded yet. Can you tell me what happens to my account and data from here?,,
saas,saas-002,plan downgrade data,medium,Can I switch to a lower-tier plan and keep my data?,1,I'm over budget and I need to downgrade from Pro to Starter. I have 3 years of data in here. I need to know right now whether downgrading means losing anything.,,
saas,saas-002,plan downgrade data,medium,Can I switch to a lower-tier plan and keep my data?,2,"So I can downgrade my plan and all my existing data stays intact, just the features I have access to change going forward?",,
saas,saas-002,plan downgrade data,medium,Can I switch to a lower-tier plan and keep my data?,3,if i switch to the cheaper plan will i lose my old stuff or does it stay,,
saas,saas-002,plan downgrade data,medium,Can I switch to a lower-tier plan and keep my data?,4,I can't afford the current plan anymore and I'm genuinely worried about losing years of work. Please tell me clearly what gets preserved and what doesn't.,,
saas,saas-002,plan downgrade data,medium,Can I switch to a lower-tier plan and keep my data?,5,"When downgrading from a higher to a lower subscription tier, is all previously created data retained?",,
saas,saas-002,plan downgrade data,medium,Can I switch to a lower-tier plan and keep my data?,6,Your sales rep confirmed that downgrading plans preserves all existing data and only affects new feature access going forward.,,
saas,saas-002,plan downgrade data,medium,Can I switch to a lower-tier plan and keep my data?,7,I want to downgrade from Pro to Starter. The Starter tier has a 10GB storage limit and I'm at 8GB. Is that 10GB applied immediately or do I have time to reduce?,,
saas,saas-002,plan downgrade data,medium,Can I switch to a lower-tier plan and keep my data?,8,I'm thinking about changing my plan to a lower tier. Can you help me understand what that would affect?,,
saas,saas-003,refund after charge,medium,I was just charged for a renewal and I want to cancel and get a refund.,1,I completely forgot to cancel before the renewal and I was just charged $120 for another year I don't need. I want to cancel and get that money back today.,,
saas,saas-003,refund after charge,medium,I was just charged for a renewal and I want to cancel and get a refund.,2,"So since I just got charged in the last 24 hours and I cancel now, I'll get a full refund right?",,
saas,saas-003,refund after charge,medium,I was just charged for a renewal and I want to cancel and get a refund.,3,got charged for a subscription renewal can i cancel and get a refund,,
saas,saas-003,refund after charge,medium,I was just charged for a renewal and I want to cancel and get a refund.,4,I didn't want to renew and this charge has caused a real problem for me financially. Please tell me there's a way to get this reversed.,,
saas,saas-003,refund after charge,medium,I was just charged for a renewal and I want to cancel and get a refund.,5,"If a customer is charged for an annual renewal they did not intend, what is the refund eligibility and process?",,
saas,saas-003,refund after charge,medium,I was just charged for a renewal and I want to cancel and get a refund.,6,Your billing team confirmed a refund within 7 days of charge is available for annual plans as per your stated policy.,,
saas,saas-003,refund after charge,medium,I was just charged for a renewal and I want to cancel and get a refund.,7,"I was charged this morning and I want a refund. If the standard refund window is 7 days, does a same-day request get processed any differently?",,
saas,saas-003,refund after charge,medium,I was just charged for a renewal and I want to cancel and get a refund.,8,I was just billed and I have some questions about the charge. Can you walk me through my options?,,
saas,saas-004,seat reduction mid-cycle,low,Can I reduce the number of seats on my plan before my billing cycle ends?,1,I have 10 seats and 3 people just left the company. I want to remove those seats now and stop paying for them. Can I do that mid-cycle or do I have to wait?,,
saas,saas-004,seat reduction mid-cycle,low,Can I reduce the number of seats on my plan before my billing cycle ends?,2,So I can remove the unused seats immediately and get a prorated credit for the remaining billing period on those seats right?,,
saas,saas-004,seat reduction mid-cycle,low,Can I reduce the number of seats on my plan before my billing cycle ends?,3,can i remove seats from my plan right now or do i have to wait until renewal,,
saas,saas-004,seat reduction mid-cycle,low,Can I reduce the number of seats on my plan before my billing cycle ends?,4,We're downsizing and I'm trying to reduce costs immediately. Every month I'm paying for 3 seats no one is using. What are my options?,,
saas,saas-004,seat reduction mid-cycle,low,Can I reduce the number of seats on my plan before my billing cycle ends?,5,"Can a customer reduce their seat count mid-billing-cycle, and if so, are unused seat fees prorated and refunded?",,
